picture;date;time;individual;camera;n_interaction;temperature;max_temp_atmo;;;;
C4_20;16_04_2026;10:15;4;C4;;20;28.3;;;;
C4_20;16_04_2026;10:15;no_ID;C4;;20;28.3;;;;
C4_21;16_04_2026;10:30;no_ID;C4;;22;28.3;;;;
C4_21;16_04_2026;10:30;no_ID;C4;;22;28.3;;;;
C4_67;17_04_2026;11:00;3;C4;;24;22.4;;;;
C4_67;17_04_2026;11:00;4;C4;;24;22.4;;;;
C4_67;17_04_2026;11:00;no_ID;C4;;24;22.4;;;;
C4_72;17_04_2026;12:15;no_ID;C4;;26;22.4;;;;
C4_72;17_04_2026;12:15;2;C4;;26;22.4;;;;
C4_72;17_04_2026;12:15;4;C4;;26;22.4;;;;
C4_72;17_04_2026;12:15;7;C4;;26;22.4;;;;
C4_117;18_04_2026;12:30;2;C4;;27;21.7;;;;
C4_117;18_04_2026;12:30;4;C4;;27;21.7;;;;
C4_117;18_04_2026;12:30;7;C4;;27;21.7;;;;
C4_157;19_04_2026;11:30;no_ID;C4;;25;22.2;;;;
C4_157;19_04_2026;11:30;no_ID;C4;;25;22.2;;;;
C4_157;19_04_2026;11:30;4;C4;;25;22.2;;;;
C4_157;19_04_2026;11:30;7;C4;;25;22.2;;;;
C4_162;19_04_2026;12:45;4;C4;;29;22.2;;;;
C4_162;19_04_2026;12:45;7;C4;;29;22.2;;;;
C4_170;19_04_2026;14:45;3;C4;;33;22.2;;;;
C4_170;19_04_2026;14:45;7;C4;;33;22.2;;;;
C4_171;19_04_2026;15:00;3;C4;;31;22.2;;;;
C4_171;19_04_2026;15:00;7;C4;;31;22.2;;;;
C4_212;20_04_2026;14:15;no_ID;C4;;31;23.1;;;;
C4_212;20_04_2026;14:15;4;C4;;31;23.1;;;;
C4_241;21_04_2026;10:45;no_ID;C4;;17;18.6;;;;
C4_241;21_04_2026;10:45;3;C4;;17;18.6;;;;
C4_241;21_04_2026;10:45;5;C4;;17;18.6;;;;
C4_246;21_04_2026;12:00;no_ID;C4;;20;18.6;;;;
C4_246;21_04_2026;12:00;3;C4;;20;18.6;;;;
C4_246;21_04_2026;12:00;4;C4;;20;18.6;;;;
C4_247;21_04_2026;12:15;no_ID;C4;;21;18.6;;;;
C4_247;21_04_2026;12:15;3;C4;;21;18.6;;;;
C4_247;21_04_2026;12:15;5;C4;;21;18.6;;;;
C4_247;21_04_2026;12:15;6;C4;;21;18.6;;;;
C4_250;21_04_2026;13:00;no_ID;C4;;28;18.6;;;;
C4_250;21_04_2026;13:00;2;C4;;28;18.6;;;;
C4_250;21_04_2026;13:00;3;C4;;28;18.6;;;;
C4_250;21_04_2026;13:00;4;C4;;28;18.6;;;;
C4_254;21_04_2026;14:00;5;C4;;27;18.6;;;;
C4_254;21_04_2026;14:00;4;C4;;27;18.6;;;;
C4_254;21_04_2026;14:00;no_ID;C4;;27;18.6;;;;
C4_256;21_04_2026;14:30;no_ID;C4;;30;18.6;;;;
C4_256;21_04_2026;14:30;no_ID;C4;;30;18.6;;;;
C4_256;21_04_2026;14:30;no_ID;C4;;30;18.6;;;;
C4_295;22_04_2026;13:15;no_ID;C4;;37;23.9;;;;
C4_295;22_04_2026;13:15;4;C4;;37;23.9;;;;
C4_295;22_04_2026;13:15;5;C4;;37;23.9;;;;
C12_8;16_04_2026;07:15;no_ID;C12;;14;28.3;;;;
C12_8;16_04_2026;07:15;3;C12;;14;28.3;;;;
C12_23;16_04_2026;11:00;no_ID;C12;;39;28.3;;;;
C12_23;16_04_2026;11:00;7;C12;;39;28.3;;;;
C12_24;16_04_2026;11:15;no_ID;C12;;40;28.3;;;;
C12_24;16_04_2026;11:15;no_ID;C12;;40;28.3;;;;
C12_24;16_04_2026;11:15;4;C12;;40;28.3;;;;
C12_35;16_04_2026;14:00;no_ID;C12;;43;28.3;;;;
C12_35;16_04_2026;14:00;4;C12;;43;28.3;;;;
C12_70;17_04_2026;11:45;no_ID;C12;;28;22.4;;;;
C12_70;17_04_2026;11:45;4;C12;;28;22.4;;;;
C12_72;17_04_2026;12:15;no_ID;C12;;28;22.4;;;;
C12_72;17_04_2026;12:15;no_ID;C12;;28;22.4;;;;
C12_76;17_04_2026;13:15;1;C12;;25;22.4;;;;
C12_76;17_04_2026;13:15;3;C12;;25;22.4;;;;
C12_76;17_04_2026;13:15;5;C12;;25;22.4;;;;
C12_78;17_04_2026;13:45;2;C12;;24;22.4;;;;
C12_78;17_04_2026;13:45;7;C12;;24;22.4;;;;
C12_122;18_04_2026;13:45;no_ID;C12;;31;21.7;;;;
C12_122;18_04_2026;13:45;1;C12;;31;21.7;;;;
C12_122;18_04_2026;13:45;5;C12;;31;21.7;;;;
C12_154;19_04_2026;10:45;no_ID;C12;;31;22.2;;;;
C12_154;19_04_2026;10:45;no_ID;C12;;31;22.2;;;;
C12_163;19_04_2026;13:00;no_ID;C12;;33;22.2;;;;
C12_163;19_04_2026;13:00;no_ID;C12;;33;22.2;;;;
C12_163;19_04_2026;13:00;6;C12;;33;22.2;;;;
C12_164;19_04_2026;13:15;no_ID;C12;;34;22.2;;;;
C12_164;19_04_2026;13:15;8;C12;;34;22.2;;;;
C12_165;19_04_2026;13:30;no_ID;C12;;37;22.2;;;;
C12_165;19_04_2026;13:30;4;C12;;37;22.2;;;;
C12_166;19_04_2026;13:45;no_ID;C12;;36;22.2;;;;
C12_166;19_04_2026;13:45;5;C12;;36;22.2;;;;
C12_166;19_04_2026;13:45;7;C12;;36;22.2;;;;
C12_168;19_04_2026;14:15;2;C12;;30;22.2;;;;
C12_168;19_04_2026;14:15;4;C12;;30;22.2;;;;
C12_168;19_04_2026;14:15;8;C12;;30;22.2;;;;
C12_195;20_04_2026;10:00;no_ID;C12;;34;23.1;;;;
C12_195;20_04_2026;10:00;no_ID;C12;;34;23.1;;;;
C12_245;21_04_2026;11:45;5;C12;;24;18.6;;;;
C12_245;21_04_2026;11:45;8;C12;;24;18.6;;;;
C12_246;21_04_2026;12:00;no_ID;C12;;25;18.6;;;;
C12_246;21_04_2026;12:00;5;C12;;25;18.6;;;;
C12_250;21_04_2026;13:00;1;C12;;30;18.6;;;;
C12_250;21_04_2026;13:00;2;C12;;30;18.6;;;;
C12_250;21_04_2026;13:00;3;C12;;30;18.6;;;;
C12_258;21_04_2026;15:00;no_ID;C12;;28;18.6;;;;
C12_258;21_04_2026;15:00;3;C12;;28;18.6;;;;
C12_258;21_04_2026;15:00;7;C12;;28;18.6;;;;
C12_259;21_04_2026;15:15;2;C12;;25;18.6;;;;
C12_259;21_04_2026;15:15;8;C12;;25;18.6;;;;
C12_289;22_04_2026;11:45;no_ID;C12;;37;23.9;;;;
C12_289;22_04_2026;11:45;no_ID;C12;;37;23.9;;;;
C16_114;18_04_2026;11:30;no_ID;C16;;24;21.7;;;;
C16_114;18_04_2026;11:30;no_ID;C16;;24;21.7;;;;
C16_116;18_04_2026;12:00;no_ID;C16;;24;21.7;;;;
C16_116;18_04_2026;12:00;no_ID;C16;;24;21.7;;;;
C16_116;18_04_2026;12:00;3;C16;;24;21.7;;;;
C16_116;18_04_2026;12:00;4;C16;;24;21.7;;;;
C16_242;21_04_2026;10:45;no_ID;C16;;19;18.6;;;;
C16_242;21_04_2026;10:45;4;C16;;19;18.6;;;;
C16_246;21_04_2026;11:45;no_ID;C16;;20;18.6;;;;
C16_246;21_04_2026;11:45;no_ID;C16;;20;18.6;;;;
C16_246;21_04_2026;11:45;4;C16;;20;18.6;;;;
C16_247;21_04_2026;12:00;no_ID;C16;;20;18.6;;;;
C16_247;21_04_2026;12:00;4;C16;;20;18.6;;;;
